i,X1,Y1,Z1,M1,X2,Y2,Z2,M2,XDIFF,YDIFF,ZDIFF,MDIFF,420,116,8
102,-1725,295,-965,1998.5,-1326,421,-931,1674.0,399,126,34,-324.5,,,
103,-1722,300,-941,1985.1,-1323,423,-920,1666.0,399,123,21,-319.1,,,
104,-1740,318,-916,1991.9,-1331,448,-902,1669.1,409,130,14,-322.8,,,
105,-1725,371,-901,1981.2,-1311,495,-886,1657.9,414,124,15,-323.2,,,
106,-1720,386,-883,1971.6,-1306,515,-860,1646.3,414,129,23,-325.2,,,
107,-1722,426,-863,1972.7,-1316,552,-847,1659.5,406,126,16,-313.2,,,
108,-1712,461,-858,1969.7,-1311,585,-840,1663.3,401,124,18,-306.4,,,
109,-1682,507,-856,1954.2,-1298,635,-828,1665.4,384,128,28,-288.8,,,
110,-1680,535,-840,1953.0,-1286,666,-826,1667.2,394,131,14,-285.8,,,
111,-1695,520,-848,1965.3,-1301,663,-811,1670.3,394,143,37,-295.0,,,
112,-1725,567,-810,1988.3,-1321,683,-790,1683.9,404,116,20,-304.3,,,
113,-1687,627,-782,1962.3,-1301,746,-751,1677.2,386,119,31,-285.1,,,
114,-1717,638,-745,1977.4,-1343,766,-720,1705.5,374,128,25,-271.9,,,
115,-1755,600,-723,1990.7,-1348,726,-693,1680.6,407,126,30,-310.1,,,
116,-1745,592,-731,1982.4,-1353,723,-706,1688.7,392,131,25,-293.7,,,
117,-1747,592,-716,1978.7,-1368,728,-688,1695.5,379,136,28,-283.2,,,
118,-1752,646,-651,1977.5,-1371,773,-616,1690.2,381,127,35,-287.4,,,
119,-1787,651,-521,1972.0,-1413,797,-521,1703.9,374,146,0,-268.1,,,
120,-1845,658,-458,2011.7,-1458,778,-441,1710.4,387,120,17,-301.2,,,
121,-1895,607,-395,2028.7,-1516,746,-357,1726.9,379,139,38,-301.8,,,
122,-1945,545,-296,2041.5,-1581,711,-248,1751.2,364,166,48,-290.3,,,
123,-1980,515,-197,2055.3,-1605,666,-175,1746.5,375,151,22,-308.9,,,
124,-2010,492,-93,2071.4,-1635,635,-73,1755.5,375,143,20,-315.9,,,
125,-2055,396,-13,2092.8,-1680,540,3,1764.7,375,144,16,-328.2,,,
126,-2072,297,51,2093.8,-1715,428,83,1769.5,357,131,32,-324.3,,,
127,-2105,177,155,2118.1,-1727,331,160,1765.7,378,154,5,-352.4,,,
128,-2107,73,213,2119.0,-1725,217,261,1758.1,382,144,48,-360.9,,,
129,-2112,-16,243,2126.0,-1732,118,273,1757.3,380,134,30,-368.6,,,
130,-2130,-128,221,2145.3,-1750,28,246,1767.4,380,156,25,-377.8,,,
131,-2140,-290,150,2164.8,-1747,-111,172,1759.0,393,179,22,-405.8,,,
132,-2145,-572,-8,2220.0,-1752,-413,-1,1800.0,393,159,7,-420.0,,,
133,-2047,-952,-375,2288.5,-1640,-832,-365,1874.8,407,120,10,-413.6,,,
134,-1722,-1286,-950,2349.8,-1252,-1200,-957,1980.7,470,86,-7,-369.1,,,
135,-1025,-1428,-1543,2338.9,-530,-1356,-1535,2115.6,495,72,8,-223.3,,,
136,-507,-1502,-1738,2352.4,-23,-1413,-1691,2203.8,484,89,47,-148.6,,,
137,-97,-1445,-1812,2319.7,410,-1383,-1775,2287.2,507,62,37,-32.4,,,
138,67,-1406,-1802,2286.6,565,-1356,-1743,2279.5,498,50,59,-7.1,,,
139,50,-1353,-1783,2238.8,540,-1293,-1751,2242.6,490,60,32,3.8,,,
140,-137,-1306,-1791,2220.8,360,-1252,-1746,2178.4,497,54,45,-42.4,,,
141,-252,-1265,-1788,2204.7,241,-1190,-1760,2138.2,493,75,28,-66.5,,,
142,-320,-1137,-1822,2171.4,161,-1081,-1780,2088.8,481,56,42,-82.6,,,
143,-350,-976,-1895,2160.1,126,-917,-1858,2075.8,476,59,37,-84.3,,,
144,-402,-887,-1918,2151.1,83,-810,-1887,2055.2,485,77,31,-95.9,,,
145,-460,-743,-1953,2139.6,13,-653,-1918,2026.2,473,90,35,-113.4,,,
146,-507,-530,-1991,2121.8,-53,-466,-1950,2005.6,454,64,41,-116.2,,,
147,-565,-328,-2015,2118.3,-111,-275,-1983,2005.1,454,53,32,-113.2,,,
148,-577,-195,-2017,2107.0,-116,-108,-1983,1989.3,461,87,34,-117.6,,,
149,-635,-16,-2007,2105.1,-201,41,-1986,1996.6,434,57,21,-108.6,,,
150,-702,81,-1998,2119.3,-268,172,-1962,1987.7,434,91,36,-131.6,,,
151,-825,230,-1951,2130.7,-397,312,-1918,1983.3,428,82,33,-147.4,,,
152,-955,343,-1865,2123.2,-520,426,-1848,1966.5,435,83,17,-156.7,,,
153,-1120,386,-1768,2128.2,-698,477,-1760,1952.5,422,91,8,-175.7,,,
154,-1322,363,-1652,2146.8,-891,473,-1637,1922.9,431,110,15,-223.9,,,
155,-1432,348,-1568,2151.8,-997,443,-1546,1892.2,435,95,22,-259.6,,,
156,-1500,158,-1538,2154.2,-1092,262,-1527,1895.5,408,104,11,-258.7,,,
157,-1632,-38,-1455,2186.8,-1197,73,-1438,1872.4,435,111,17,-314.3,,,
158,-1660,-230,-1417,2194.6,-1230,-113,-1405,1870.7,430,117,12,-323.9,,,
159,-1650,-453,-1422,2224.8,-1210,-348,-1400,1882.9,440,105,22,-341.9,,,
160,-1600,-635,-1447,2248.8,-1135,-542,-1426,1901.4,465,93,21,-347.3,,,
161,-1500,-817,-1452,2241.8,-1060,-728,-1443,1932.8,440,89,9,-309.0,,,
162,-1417,-958,-1481,2262.5,-956,-877,-1470,1960.6,461,81,11,-301.9,,,
163,-1295,-1086,-1536,2283.8,-838,-978,-1506,1981.6,457,108,30,-302.2,,,
164,-1170,-1111,-1590,2265.2,-708,-1016,-1563,1994.1,462,95,27,-271.1,,,
165,-1020,-1112,-1652,2237.4,-560,-1043,-1650,2030.8,460,69,2,-206.7,,,
166,-927,-1135,-1716,2256.6,-455,-1058,-1691,2045.9,472,77,25,-210.7,,,
167,-862,-1101,-1756,2244.7,-380,-1031,-1721,2041.9,482,70,35,-202.9,,,
168,-797,-1041,-1788,2217.2,-322,-978,-1760,2039.1,475,63,28,-178.1,,,
169,-682,-996,-1830,2192.3,-201,-935,-1801,2039.2,481,61,29,-153.1,,,
170,-675,-1043,-1817,2201.1,-193,-968,-1767,2024.0,482,75,50,-177.1,,,
171,-815,-1115,-1713,2200.4,-362,-1051,-1671,2007.0,453,64,42,-193.5,,,
172,-1122,-1197,-1493,2218.3,-671,-1101,-1467,1953.1,451,96,26,-265.2,,,
173,-1385,-1175,-1276,2219.7,-956,-1076,-1258,1911.6,429,99,18,-308.1,,,
174,-1582,-1111,-1111,2229.7,-1132,-998,-1080,1855.8,450,113,31,-373.9,,,
175,-1700,-1066,-928,2210.8,-1262,-953,-928,1833.6,438,113,0,-377.2,,,
176,-1802,-1023,-755,2205.4,-1376,-905,-741,1806.0,426,118,14,-399.4,,,
177,-1872,-968,-633,2200.5,-1436,-832,-610,1768.2,436,136,23,-432.3,,,
178,-1862,-922,-641,2174.4,-1458,-802,-628,1778.6,404,120,13,-395.8,,,
179,-1880,-952,-643,2203.2,-1441,-835,-621,1777.5,439,117,22,-425.8,,,
180,-1845,-1041,-676,2223.7,-1423,-925,-670,1824.7,422,116,6,-399.0,,,
181,-1780,-1217,-780,2293.0,-1306,-1101,-785,1879.9,474,116,-5,-413.1,,,
